movie_title,movie_desc,movie_rate,movie_poster,movie_year,movie_genre,movie_nation
뜨거운 피,"부산 변두리 작은 포구 `구암`의 절대적인 주인 `손영감`(김갑수), 그의 밑에서 수년간 수족으로 일해온 `희수`(정우)는 무엇 하나 이뤄낸 것 없이, 큰돈 한번 만져보지 못한 채 반복되는 건달 짓이 지긋지긋하다.  1993년, 범죄와의 전쟁 이후 새로운 구역을 집어삼키기 위해 물색중인 영도파 건달들은 아무도 관심 갖지 않는 `구암`에 눈독을 들이고, 영도파 에이스이자 `희수`의 오랜 친구 `철진`(지승현)이 `희수`에게 은밀히 접근한다.  새로운 삶을 시작하려는 `희수`는 갈등하고, 조용하던 `구암`을 차지하려는 밑바닥 건달들의 치열한 생존 싸움이 시작되는데... 더 이상 물러날 곳도 도망칠 곳도 없다. 누구든 망설이는 놈이 진다!",,https://an2-img.amz.wtchn.net/image/v2/alJx8BY7dQccbL_yncGSDw.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk1qZ3dlRFF3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFMk5EWTJNek13TkRjM09UZ3hNakE0TWpFaWZRLlhhVnpjeDExZ0NBSFBTWHQxMUNlVnloQUlUeEJqT0NRVFMtUURyb3ludVk,2020,범죄/드라마,한국
문폴,"1969년 인류의 위대한 도전, 달 착륙 성공 2022년 인류 최후의 재난, 달이 지구와 충돌한다! 궤도를 이탈한 달이 지구를 향해 떨어지기 시작하면서 지구의 중력과 모든 물리적인 법칙이 붕괴된다. 거대한 해일과 지진, 화산폭발, 쓰나미와 이상기후까지 상상조차 불가능했던 모든 재난으로 전 세계는 공포와 혼란에 빠진다. 달과 충돌까지 남은 시간은 단 30일. NASA 연구원 `파울러`(할리 베리), 전직 우주 비행사 `브라이언`(패트릭 윌슨), 그리고 우주 덕후 `KC`(존 브래들리)는 달을 막을 방법을 찾기 위해 마지막 우주선에 오른다. 인류 멸망 D-30일, 추락하는 달을 반드시 멈춰야 한다",2.2,https://an2-img.amz.wtchn.net/image/v2/E8ZdVl5FnCa3PbIiLgjkew.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk1qZ3dlRFF3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFMk5EWXhORE0zTlRneU1USXpOalExTlRZaWZRLjEzM3lRcGNPZVRnRDJoMDdOWW5pNk0zSDdDZk5TN1dkcmVGemNBMDZQejQ,2022,판타지/액션/드라마,캐나다/미국/영국
스펜서,"왕비가 되지 않고 자신의 이름을 찾기로 결심한 다이애나 왕세자비의 새로운 이야기 1991년, 왕실 가족이 샌드링엄 별장에 모여서 보내는 크리스마스. 연휴 3일간 이뤄지는 다이애나 왕세자비의 감정 변화에 집중한다. 스펜서는 직접 운전을 하다가 뒤늦게 별장에 도착한다. 모두가 그의 지각을 마뜩잖게 생각하고, 그 순간부터 통제는 시작된다. 다이애나는 3일 동안 의심과 결심 사이를 오가며 중대한 결정을 내리게 되는데...",3.6,https://an2-img.amz.wtchn.net/image/v2/_8BzRXrN328-dm3ILdHrEQ.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk1qZ3dlRFF3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFMk5EVXdNVGMxTkRBNU5UZ3dPVGszTVRJaWZRLklhemxOOEg3cU9KQVV0clZ3QXVjRS03TmZlQnd3RWhobUdPQlpPRDVtTGs,2021,전기/드라마,영국/독일/미국
극장판 주술회전 0,"어릴 적 소꿉친구인 오리모토 리카를 교통사고로 눈앞에서 잃은 옷코츠 유타. “약속해, 리카와 유타는 어른이 되면 결혼하기로”  옷코츠는 원령으로 변한 리카의 저주에 괴로워한 나머지, 자신도 죽기를 바라지만 최강의 주술사인 고죠 사토루에 의해 주술고전에 들어가게 된다. 그리고 동급생인 젠인 마키, 이누마키 토게, 판다를 만나면서 굳은 결심을 한다.  “살아도 된다는 자신감이 필요해”   “나는 주술고전에서 리카의 저주를 풀겠습니다”  한편, 옷코츠와 친구들 앞에 과거에 일반인을 대량으로 학살해서 고전에서 추방된 최악의 주저사인 게토 스구루가 나타난다. “12월 24일, 우리는 백귀야행을 결행한다” 주술사만의 낙원을 만들려는 게토는 비술사를 섬멸하겠다면서, 신주쿠와 교토에 천의 저주를 내리는데…과연 옷코츠는 게토를 막을 수 있을까? 그리고 리카의 저주를 풀 수 있을까?",3.8,https://an2-img.amz.wtchn.net/image/v2/5CSy5j_hR0EPQrYNftJCZg.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk1qZ3dlRFF3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFMk5ETTFPRFV3Tnprd05UazJNekF3T0RZaWZRLkg2eGVkMUtLSHAyOVlMSnY1UmpRNVdjVjBnN0R1Y1J3OUZjVXhPejJ1aGc,2021,애니메이션/액션/모험,일본
이상한 나라의 수학자,“정답보다 중요한 건 답을 찾는 과정이야” 학문의 자유를 갈망하며 탈북한 천재 수학자 `이학성`(최민식). 그는 자신의 신분과 사연을 숨긴 채 상위 1%의 영재들이 모인 자사고의 경비원으로 살아간다. 차갑고 무뚝뚝한 표정으로 학생들의 기피 대상 1호인 `이학성`은 어느 날 자신의 정체를 알게 된 뒤 수학을 가르쳐 달라 조르는 수학을 포기한 고등학생 `한지우`(김동휘)를 만난다. 정답만을 찾는 세상에서 방황하던 `한지우`에게 올바른 풀이 과정을 찾아나가는 법을 가르치며 `이학성` 역시 뜻하지 않은 삶의 전환점을 맞게 된다.,3.0,https://an2-img.amz.wtchn.net/image/v2/hsg-TCpZwXPAsMUOcgIdKg.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk1qZ3dlRFF3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFMk5EUXpOek16TkRNNE16RTFNVEUyTnpjaWZRLllwdVh4STY4OXBJVWRnd0w5eTl2YzVzcjBPNHBONEc0dVU2MWRXOHVmWjQ,2020,드라마,한국
더 배트맨,"영웅이 될 것인가 악당이 될 것인가 운명을 결정할 선택만이 남았다 지난 2년간 고담시의 어둠 속에서 범법자들을 응징하며 배트맨으로 살아온 브루스 웨인. 알프레드와 제임스 고든 경위의 도움 아래, 도시의 부패한 공직자들과 고위 관료들 사이에서 복수의 화신으로 활약한다. 고담의 시장 선거를 앞두고 고담의 엘리트 집단을 목표로 잔악한 연쇄살인을 저지르는 수수께끼 킬러 리들러가 나타나자, 최고의 탐정 브루스 웨인이 수사에 나서고 남겨진 단서를 풀어가며 캣우먼, 펭귄, 카마인 팔코네, 리들러를 차례대로 만난다. 사이코 범인의 미스터리를 수사하면서 그 모든 증거가 자신을 향한 의도적인 메시지였음을 깨닫고, 리들러에게 농락 당한 배트맨은 광기에 사로잡힌다. 범인의 무자비한 계획을 막고 오랫동안 고담시를 썩게 만든 권력 부패의 고리를 끊어야 하지만, 부모님의 죽음에 얽힌 진실이 밝혀지자 복수와 정의 사이에서 갈등한다. 선과 악, 빛과 어둠, 영웅과 악당, 정의와 복수... 무엇을 선택할 것인가",3.5,https://an2-img.amz.wtchn.net/image/v2/NdPk_f6CR_y-Ra0GJ3Ig5A.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk1qZ3dlRFF3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFMk5ETXdOekkwTVRrME56QXlPRFkxTVRNaWZRLnphdi1XU3I1WFNrNXVQakd2VTlMQzc3TWJtQThwYVFLOEhJS0d5RmYyV28,2022,액션/범죄/드라마,미국
에펠,"전세계가 몰랐던 에펠의 또 다른 이야기 불멸의 탑을 완성한 에펠의 고뇌와 사랑! 자유의 여신상을 완성하고 프랑스로 돌아와 최고의 전성기를 누리는 천재 건축가 구스타브 에펠은 1889년 파리의 세계 만국 박람회를 기념하기 위해 세계 최초로 300m 높이의 탑 설계도를 제안한다. 안전을 우려한 주민들의 반발과 예술가들의 탄원서, 언론의 비평으로 위기에 처하지만 20년전 떠나 보낸 옛사랑 아드리안느를 되찾기 위해 혼신의 힘을 다해 탑을 완성하는데..",,https://an2-img.amz.wtchn.net/image/v2/tz2FQ735zV4xV4ReGSLO4Q.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk1qZ3dlRFF3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFMk5EUXlNakk1TmpRM05EWTBOVFU0TWpnaWZRLkwwY0loSlVrWUxBLXJtLWtSMlYxcXI4RlRhNm5QY09Db2w4V0ZmNlZ6anc,2021,로맨스/드라마,프랑스/독일
패왕별희,"어렸을 때부터 함께 경극을 해온 ‘두지’(장국영)와 ‘시투’(장풍의). 세상에 둘도 없는 절친한 아우와 형이지만, ‘두지’는 남몰래 ‘시투’에 대한 마음을 품고 있다. 하지만 ‘시투’는 여인 ‘주샨’(공리)에 마음을 빼앗기고, 그로 인해 ‘두지’는 감정의 소용돌이에 빠지게 되는데…  사랑과 운명, 아름다움을 뒤바꾼 화려한 막이 열린다!",4.0,https://an2-img.amz.wtchn.net/image/v2/oc_XyDPDIqLnI5ReMFsQvg.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk1qZ3dlRFF3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFMk1UTXpOemcwTnpFM05qQTBPRFU0TURJaWZRLlM5R2E5UHZZcWFqcENYMGdsT2hWR0I5Rk80ZV96Q2owLVFkQUJma1dqR2s,1993,드라마/음악/로맨스,중국/홍콩
도어맨,"해병대 복무 중 테러집단의 공격으로 대사와 가족을 잃은 알리(루비 로즈)는 제대 후 고급 아파트 도어맨으로 새로운 삶을 시작한다. 우연히 그곳에 거주하고 있던 형부와 조카들을 만나 부활절 저녁을 함께 하던 그 시각, 빅터(장 르노)는 수십 년 전 동료 버나드가 빼돌린 고가의 미술품을 노리고 무장 괴한들과 함께 아파트에 침입하는데…. 한편, 리모델링을 위해 대부분의 입주자들이 이주해 텅 비어있는 아파트를 장악하고 미술품들을 찾던 빅터 일당은 버나드가 원래 지내던 곳이 알리의 형부 가족들의 집이라는 사실을 알고 10층으로 향한다! 위기에 처한 형부와 조카들을 구하기 위해 고군분투하는 알리는 과연 무장 괴한들을 제압할 수 있을 것인가?!",2.2,https://an2-img.amz.wtchn.net/image/v2/-a_wFi_c1EQuxOGyS2B7bg.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk1qZ3dlRFF3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFMk5EVTFNRGs1TnpreU16UTBPRGt3T0RnaWZRLjNHYi1tNkpOekk4T3BVMDVxM2pDWE5jUHJGTmFOUTRNQzh0N0dPVmZKWjg,2020,액션/스릴러,미국
언차티드,"모든 것을 걸었다면 세상 누구보다 빠르게 찾아야 한다! 평범한 삶을 살던 `네이선`(톰 홀랜드)은 인생을 바꿀 뜻밖의 제안을 받는다. 그의 미션은 위험한 트레져 헌터 `설리`(마크 월버그)와 함께 사라진 형과 500년 전 잃어버린 천문학적인 가치를 지닌 트레져를 찾아내는 것. 그러나 몬카다(안토니오 반데라스)의 위협과 추격 속, 누구보다 빠르게 미지의 세계에 닿기 위해 결단을 내려야만 하는데…",2.9,https://an2-img.amz.wtchn.net/image/v2/PWQBMb7WWIlmH3crrJ8Qig.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk1qZ3dlRFF3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFMk5ETXlORFV5TmpjMk9UWTRNamMyTVRZaWZRLjQtQnpYVlJpRnFBajNpd29XTDBYY3lNRV90WlhSN25MVWJNWHFPTEI2OU0,2022,액션/모험,미국
